id_loker,pulau,provinsi,job_position,company_name,years_of_experience,years_of_experience_cat,average_processing_time,company_industry,company_size,work_environment_waktu_bekerja,work_environment_gaya_berpakaian,work_environment_gaya_berpakaian_contoh,work_environment_tunjangan,work_environment_bahasa,platform,pendidikan
1,jawa,dki jakarta,spv finance,PT Axindo Infotama,3,0 - 4 tahun,6,Retail/Merchandise,51 - 200 pekerja,sabtu,formal,kemeja polos & dasi,"kesehatan, umum",indonesia,jobstreet,d3
2,jawa,dki jakarta,qualitative research executive,Perusahaan Dirahasiakan,3,0 - 4 tahun,tidak tersedia,tidak tersedia,tidak spesifik,tidak tersedia,tidak spesifik,tidak spesifik,tidak tersedia,tidak dicantumkan,jobstreet,s1
3,jawa,jawa tengah,field collection wonogiri,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",indonesia,jobstreet,"d3, s1, sma"
4,jawa,dki jakarta,perawat di negara jerman,PT Jerman Manajemen,1,0 - 4 tahun,11,Pendidikan,51 - 200 pekerja,sabtu - kamis,formal,kemeja polos & dasi,kesehatan,indonesia,jobstreet,d3
5,jawa,jawa tengah,field collection pati,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",indonesia,jobstreet,"d3, s1, sma"
6,jawa,jawa tengah,field collection pekalongan,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",indonesia,jobstreet,"d3, s1, sma"
7,jawa,dki jakarta,animator internship program,MODENA INDONESIA,0,0 - 4 tahun,14,Elektrikal & Elektronik,501 - 1000 pekerja,senin - jumat,kasual,kaos,"kesehatan, umum, pendidikan, kacamata",indonesia,jobstreet,"d3, s1"
8,jawa,dki jakarta,chef de partie,PT Berkat Jaya Damai,5,5 - 9 tahun,14,Makanan & Minuman/Katering/Restoran,1- 50 pekerja,senin - jumat,kasual,kaos,tidak tersedia,indonesia,jobstreet,d3
9,jawa,dki jakarta,ui/ux,PT Mulia Sukses Jaya,3,0 - 4 tahun,14,Elektrikal & Elektronik,201 - 500 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, umum",indonesia,jobstreet,s2
10,jawa,jawa tengah,field collection pemalang,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",indonesia,jobstreet,"d3, s1, sma"
11,jawa,jawa tengah,field collection purbalingga,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",indonesia,jobstreet,"d3, s1, sma"
12,jawa,dki jakarta,apoteker,PT Medika Estetika Gemilang,1,0 - 4 tahun,9,Perawatan/Kecantikan/Fitnes,1- 50 pekerja,senin - sabtu,seragam,seragam kantor/lapangan,kesehatan,indonesia,jobstreet,tidak dicantumkan
13,sumatera,kepulauan bangka belitung,bancassurance consultant,PT AIA FINANCIAL,1,0 - 4 tahun,14,Asuransi,1001 - 2000 pekerja,senin - jumat,bisnis,kemeja,kesehatan,indonesia,jobstreet,s1
14,jawa,dki jakarta,company driver,BTI INDO TEKNO,5,5 - 9 tahun,14,Umum & Grosir,1- 50 pekerja,senin - sabtu,bisnis,kemeja,kesehatan,"indonesia, inggris",jobstreet,tidak dicantumkan
15,jawa,jawa tengah,field collection purwodadi,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",indonesia,jobstreet,"d3, s1, sma"
16,jawa,jawa tengah,field collection purworejo,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",indonesia,jobstreet,"d3, s1, sma"
17,jawa,dki jakarta,it lead etl developer,PT Simian Technologies,6,5 - 9 tahun,14,Komputer/Teknik Informatika (Perangkat Lunak),51 - 200 pekerja,senin - jumat,kasual,kaos,"kesehatan, bpjs kesehatan, bonus","indonesia, inggris",jobstreet,tidak dicantumkan
18,jawa,jawa tengah,field collection salatiga,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",indonesia,jobstreet,"d3, s1, sma"
19,jawa,jawa tengah,field collection solo,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",indonesia,jobstreet,"d3, s1, sma"
20,jawa,jawa tengah,field collection sragen,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",indonesia,jobstreet,"d3, s1, sma"
21,jawa,jawa tengah,field collection magelang,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",indonesia,jobstreet,"d3, s1, sma"
22,jawa,jawa timur,field collection tulungagung,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",indonesia,jobstreet,"d3, s1, sma"
23,jawa,jawa tengah,field collection majenang,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",indonesia,jobstreet,"d3, s1, sma"
24,jawa,jawa barat,supevisor printing,PT Lucky Print Abadi,3,0 - 4 tahun,14,Tekstil/Garment,1001 - 2000 pekerja,senin - jumat,bisnis,kemeja,umum,indonesia,jobstreet,tidak dicantumkan
25,jawa,dki jakarta,web designer,PT Plexis Erakarsa Pirantiniaga (Plasmedia),1,0 - 4 tahun,14,Komputer/Teknik Informatika (Perangkat Lunak),1- 50 pekerja,senin - jumat,bisnis,kemeja,kesehatan,"indonesia, inggris",jobstreet,"d3, s1"
26,jawa,dki jakarta,senior machine learning engineer,detikcom,2,0 - 4 tahun,14,Jurnalisme,501 - 1000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, umum",indonesia,jobstreet,s1
27,jawa,jawa tengah,field collection banjarnegara,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",indonesia,jobstreet,"d3, s1, sma"
28,jawa,dki jakarta,senior software developer specialist,PT. Lintas Teknologi Indonesia,5,5 - 9 tahun,14,Telekomunikasi,201 - 500 pekerja,fleksibel,kasual,kaos,"kesehatan, umum, kacamata",inggris,jobstreet,tidak dicantumkan
29,jawa,jawa timur,marketing digital printing,PT Yobelindo Graha Mandiri,1,0 - 4 tahun,14,Properti/Real Estate,51 - 200 pekerja,senin - sabtu,bisnis,kemeja,"kesehatan, umum",indonesia,jobstreet,tidak dicantumkan
30,jawa,jawa tengah,field collection blora,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",indonesia,jobstreet,"d3, s1, sma"
31,jawa,jawa tengah,field collection cilacap,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",indonesia,jobstreet,"d3, s1, sma"
32,jawa,jawa tengah,field collection jepara,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",indonesia,jobstreet,"d3, s1, sma"
33,jawa,jawa tengah,field collection kebumen,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",indonesia,jobstreet,"d3, s1, sma"
34,jawa,jawa tengah,field collection kendal,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",indonesia,jobstreet,"d3, s1, sma"
35,jawa,jawa tengah,field collection ketanggungan,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",indonesia,jobstreet,"d3, s1, sma"
36,jawa,jawa tengah,field collection klaten,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",indonesia,jobstreet,"d3, s1, sma"
37,jawa,jawa timur,field collection probolinggo,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",indonesia,jobstreet,"d3, s1, sma"
38,jawa,jawa tengah,field collection kudus,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",indonesia,jobstreet,"d3, s1, sma"
39,jawa,jawa timur,field collection trenggalek,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",indonesia,jobstreet,"d3, s1, sma"
40,jawa,dki jakarta,mobile developer,PT BCI Asia,3,0 - 4 tahun,4,Konstruksi/Bangunan/Teknik,51 - 200 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, umum, kacamata, cuti, bpjs kesehatan","indonesia, inggris",jobstreet,tidak dicantumkan
41,jawa,jawa timur,field collection blitar,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",indonesia,jobstreet,"d3, s1, sma"
42,jawa,jawa timur,field collection jember,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",indonesia,jobstreet,"d3, s1, sma"
43,jawa,jawa timur,field collection kediri,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",indonesia,jobstreet,"d3, s1"
44,jawa,dki jakarta,angular developer,PT Tekno Gemilang Indonesia,0,0 - 4 tahun,14,"Konsultasi (IT, Ilmu Pengetahuan, Teknis & Teknikal)",201 - 500 pekerja,senin - jumat,bisnis,kemeja,"transportasi, makan, bonus, kesehatan",indonesia,jobstreet,"d3, s1"
45,jawa,jawa timur,programmer,PT Bumi Indo Mapan,2,0 - 4 tahun,14,Umum & Grosir,201 - 500 pekerja,senin - sabtu,tidak spesifik,tidak spesifik,tidak tersedia,indonesia,jobstreet,s1
46,jawa,jawa timur,field collection pamekasan,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",indonesia,jobstreet,"d3, s1, sma"
47,jawa,jawa timur,field collection lumajang,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",indonesia,jobstreet,"d3, s1, sma"
48,jawa,di yogyakarta,graphic designer,Breef Studio,1,0 - 4 tahun,10,"Konsultasi (IT, Ilmu Pengetahuan, Teknis & Teknikal)",1- 50 pekerja,senin - jumat,kasual,kaos,kesehatan,indonesia,jobstreet,tidak dicantumkan
49,jawa,dki jakarta,app store optimization,PT Andalan Resources,2,0 - 4 tahun,14,Pameran/Manajemen acara/PIKP,1- 50 pekerja,senin - jumat,kasual,kaos,bonus,indonesia,jobstreet,tidak dicantumkan
50,tidak diketahui,tidak diketahui,field collection madiun,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",indonesia,jobstreet,"d3, s1, sma"
51,jawa,jawa timur,field collection sumenep,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",indonesia,jobstreet,"d3, s1, sma"
52,jawa,jawa timur,field collection banyuwangi,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",indonesia,jobstreet,"d3, s1, sma"
53,jawa,jawa timur,marketing in house,PT. PRAMBANAN BIZLAND INDONESIA,2,0 - 4 tahun,14,Properti/Real Estate,1- 50 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, umum","indonesia, inggris",jobstreet,"d3, s1"
54,jawa,jawa timur,field collection lamongan,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",indonesia,jobstreet,"d3, s1, sma"
55,jawa,jawa timur,field collection ngawi,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",indonesia,jobstreet,"d3, s1, sma"
56,jawa,jawa timur,marketing freelance,PT. PRAMBANAN BIZLAND INDONESIA,2,0 - 4 tahun,14,Properti/Real Estate,1- 50 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, umum","indonesia, inggris",jobstreet,"d3, s1"
57,jawa,dki jakarta,mobile application developer,PT Infogram Telemedia,3,0 - 4 tahun,14,Komputer/Teknik Informatika (Perangkat Lunak),51 - 200 pekerja,tidak tersedia,tidak spesifik,tidak spesifik,tidak tersedia,tidak dicantumkan,jobstreet,"s1, d3"
58,jawa,dki jakarta,programmer,Breef Studio,1,0 - 4 tahun,10,"Konsultasi (IT, Ilmu Pengetahuan, Teknis & Teknikal)",1- 50 pekerja,senin - jumat,kasual,kaos,kesehatan,indonesia,jobstreet,"s1, d3"
59,jawa,jawa timur,field collection ponorogo,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",indonesia,jobstreet,"d3, s1, sma"
60,nusa tenggara,nusa tenggara barat,coordinator security,PT Syntek Otomasi Indonesia,8,5 - 9 tahun,8,Konstruksi/Bangunan/Teknik,1- 50 pekerja,senin - jumat,semi formal,kemeja motif,"kesehatan, umum",indonesia,jobstreet,"d3, sma"
61,jawa,dki jakarta,dba oracle,"PT. Metrodata Electronics, Tbk",2,0 - 4 tahun,14,"Konsultasi (IT, Ilmu Pengetahuan, Teknis & Teknikal)",1001 - 2000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, umum",indonesia,jobstreet,tidak dicantumkan
62,jawa,banten,it developer,Dexa Group,1,0 - 4 tahun,14,BioTeknologi/Farmasi/Riset klinik,2001 - 5000 pekerja,senin - sabtu,seragam,seragam kantor/lapangan,"kesehatan, umum, pendidikan, kacamata",indonesia,jobstreet,tidak dicantumkan
63,jawa,banten,sap business one developer,PT Hilon Indonesia,2,0 - 4 tahun,14,Manufaktur/Produksi,501 - 1000 pekerja,tidak spesifik,bisnis,kemeja,kesehatan,indonesia,jobstreet,s1
64,jawa,banten,java developer,PT Hilon Indonesia,5,5 - 9 tahun,14,Manufaktur/Produksi,501 - 1000 pekerja,tidak spesifik,bisnis,kemeja,kesehatan,indonesia,jobstreet,s1
65,jawa,dki jakarta,ccie data center,PT. Lintas Teknologi Indonesia,3,0 - 4 tahun,14,Telekomunikasi,201 - 500 pekerja,fleksibel,kasual,kaos,"kesehatan, umum, kacamata",inggris,jobstreet,d3
66,jawa,dki jakarta,scrum master,PT Avows Technologies,1,0 - 4 tahun,13,"Konsultasi (IT, Ilmu Pengetahuan, Teknis & Teknikal)",51 - 200 pekerja,senin - jumat,kasual,kaos,"kesehatan, umum",inggris,jobstreet,s2
67,jawa,dki jakarta,front end developer,PT E2pay Global Utama,2,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,51 - 200 pekerja,senin - jumat,kasual,kaos,"kesehatan, umum, makan",inggris,jobstreet,s1
68,jawa,dki jakarta,salesman general trade,Perusahaan Dirahasiakan,2,0 - 4 tahun,tidak tersedia,tidak tersedia,tidak spesifik,tidak tersedia,tidak spesifik,tidak spesifik,tidak tersedia,tidak dicantumkan,jobstreet,sma
69,jawa,banten,"c#, .net developer",PT Hilon Indonesia,2,0 - 4 tahun,14,Manufaktur/Produksi,501 - 1000 pekerja,tidak spesifik,bisnis,kemeja,kesehatan,indonesia,jobstreet,s1
70,jawa,jawa timur,field collection tuban,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",indonesia,jobstreet,"d3, s1, sma"
71,jawa,banten,developer,PT Visionet Data Internasional,1,0 - 4 tahun,14,Komputer/Teknik Informatika (Perangkat Lunak),1001 - 2000 pekerja,senin - jumat,formal,kemeja polos & dasi,kesehatan,"indonesia, inggris",jobstreet,tidak dicantumkan
72,jawa,jawa timur,design grafis percetakan,Perusahaan Dirahasiakan,2,0 - 4 tahun,tidak tersedia,tidak tersedia,tidak spesifik,tidak tersedia,tidak spesifik,tidak spesifik,tidak tersedia,tidak dicantumkan,jobstreet,s1
73,jawa,dki jakarta,senior transfer pricing,Mazars,3,0 - 4 tahun,14,Akuntansi/Audit/Pelayanan Pajak,51 - 200 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, umum",inggris,jobstreet,tidak dicantumkan
74,jawa,banten,fashion designer,PT FATAHILLAH ANUGERAH NIBRAS,2,0 - 4 tahun,14,Retail/Merchandise,51 - 200 pekerja,senin - sabtu,bisnis,kemeja,"kesehatan, bpjs kesehatan",indonesia,jobstreet,tidak dicantumkan
75,jawa,dki jakarta,database oracle consultant,PT IFS Solusi Integrasi,3,0 - 4 tahun,14,"Konsultasi (IT, Ilmu Pengetahuan, Teknis & Teknikal)",51 - 200 pekerja,senin - jumat,kasual,kaos,kesehatan,indonesia,jobstreet,s1
76,jawa,dki jakarta,finance consultant apprentice,PT Sinergi Cipta Ananta,2,0 - 4 tahun,13,Asuransi,51 - 200 pekerja,senin - jumat,bisnis,kemeja,umum,indonesia,jobstreet,d3
77,jawa,dki jakarta,icu general practitioner,RS Premier Jatinegara,2,0 - 4 tahun,5,Kesehatan/Medis,501 - 1000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, umum, kacamata",indonesia,jobstreet,s1
78,sumatera,riau,field collection dumai,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",indonesia,jobstreet,"d3, s1, sma"
79,jawa,dki jakarta,react native developer,PT Vanz Inovatif Teknologi,2,0 - 4 tahun,3,Komputer/Teknik Informatika (Perangkat Lunak),1- 50 pekerja,senin - jumat,kasual,kaos,"umum, tidak tersedia",indonesia,jobstreet,tidak dicantumkan
80,nusa tenggara,nusa tenggara timur,coordinator collector cabang kupang,PT Finansia Multi Finance (Kredit Plus),3,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, umum, kacamata",indonesia,jobstreet,tidak dicantumkan
81,jawa,jawa barat,field collection sumedang,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",indonesia,jobstreet,"d3, s1, sma"
82,sumatera,riau,field collection duri,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",indonesia,jobstreet,"d3, s1, sma"
83,jawa,banten,data engineer,Grivy,3,0 - 4 tahun,3,Telekomunikasi,1- 50 pekerja,tidak spesifik,kasual,kaos,"kesehatan, umum, pendidikan",inggris,jobstreet,tidak dicantumkan
84,jawa,banten,software test engineer,PT. Asia Chemical Industry,3,0 - 4 tahun,14,Manufaktur/Produksi,201 - 500 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, umum",indonesia,jobstreet,s1
85,jawa,dki jakarta,is developer,PT PAM Lyonnaise Jaya (Palyja),1,0 - 4 tahun,14,Layanan Umum/Tenaga Penggerak,1001 - 2000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, kacamata",indonesia,jobstreet,s1
86,jawa,dki jakarta,it oracle developer,PT Enseval Putera Megatrading Tbk,0,0 - 4 tahun,14,Transportasi/Logistik,lebih dari 5000 pekerja,senin - jumat,"bisnis, formal","kemeja, kemeja polos & dasi","kesehatan, umum, bpjs kesehatan",indonesia,jobstreet,tidak dicantumkan
87,sumatera,jambi,field collection muara bulian,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",indonesia,jobstreet,"d3, s1, sma"
88,jawa,dki jakarta,it business analyst,PT Enseval Putera Megatrading Tbk,3,0 - 4 tahun,14,Transportasi/Logistik,lebih dari 5000 pekerja,senin - jumat,"bisnis, formal","kemeja, kemeja polos & dasi","kesehatan, umum, bpjs kesehatan",indonesia,jobstreet,s1
89,sumatera,sumatera barat,field collection bukittinggi,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",indonesia,jobstreet,"d3, s1, sma"
90,jawa,dki jakarta,product specialist,PT Nutech Integrasi,2,0 - 4 tahun,14,"Konsultasi (IT, Ilmu Pengetahuan, Teknis & Teknikal)",201 - 500 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, umum, pendidikan, bpjs kesehatan",indonesia,jobstreet,s1
91,jawa,jawa barat,field collection cianjur,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",indonesia,jobstreet,"d3, s1, sma"
92,sumatera,sumatera utara,field collection tebing tinggi,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",indonesia,jobstreet,"d3, s1, sma"
93,jawa,dki jakarta,front end engineer,PT FinAccel Teknologi Indonesia,4,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,201 - 500 pekerja,senin - jumat,kasual,kaos,"kesehatan, umum, kacamata",inggris,jobstreet,tidak dicantumkan
94,jawa,jawa barat,"field collection patrol, indramayu",OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",indonesia,jobstreet,"d3, s1, sma"
95,jawa,dki jakarta,ios mobile developer,PT Sinergi Bestama Indonesia,2,0 - 4 tahun,14,"Konsultasi (IT, Ilmu Pengetahuan, Teknis & Teknikal)",1- 50 pekerja,senin - jumat,kasual,kaos,"kesehatan, umum, pendidikan, kacamata, bpjs kesehatan",indonesia,jobstreet,s1
96,jawa,dki jakarta,android mobile developer,PT Sinergi Bestama Indonesia,1,0 - 4 tahun,14,"Konsultasi (IT, Ilmu Pengetahuan, Teknis & Teknikal)",1- 50 pekerja,senin - jumat,kasual,kaos,"kesehatan, umum, pendidikan, kacamata, bpjs kesehatan",indonesia,jobstreet,tidak dicantumkan
97,jawa,jawa barat,field collection subang,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",indonesia,jobstreet,"d3, s1, sma"
98,jawa,jawa tengah,sales executive,PT. Kawasan Industri Kendal,2,0 - 4 tahun,5,Konstruksi/Bangunan/Teknik,51 - 200 pekerja,sabtu,bisnis,kemeja,"kesehatan, kacamata",inggris,jobstreet,"profesi, d3"
99,jawa,dki jakarta,account executive,PT Quintal Edutama Solusindo,0,0 - 4 tahun,3,Komputer/Teknik Informatika (Perangkat Lunak),1- 50 pekerja,senin - jumat,kasual,kaos,"umum, makan",indonesia,jobstreet,"profesi, d3, s1"
100,sumatera,jambi,field collection muara sabak,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",indonesia,jobstreet,"d3, s1, sma"
101,sumatera,sumatera utara,field collection rantau prapat,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",indonesia,jobstreet,"d3, s1, sma"
102,sumatera,aceh,field collection banda aceh,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",indonesia,jobstreet,"d3, s1, sma"
103,sumatera,kepulauan bangka belitung,field collection bangka,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",indonesia,jobstreet,"d3, s1, sma"
104,jawa,jawa barat,field collection garut,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",indonesia,jobstreet,"d3, s1, sma"
105,sumatera,bengkulu,field collection bengkulu,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",indonesia,jobstreet,"d3, s1"
106,jawa,jawa barat,field collection jatibarang,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",indonesia,jobstreet,"d3, s1, sma"
107,jawa,dki jakarta,business development trainee marketing sales,"PT. Wisdra International - Grandvision, KPM PT. Prudential Life Assurance",1,0 - 4 tahun,3,Asuransi,51 - 200 pekerja,senin - jumat,formal,kemeja polos & dasi,"umum, pendidikan, traveling, bonus",indonesia,jobstreet,s1
108,sumatera,jambi,field collection jambi,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",indonesia,jobstreet,"d3, s1, sma"
109,sumatera,sumatera barat,field collection payakumbuh,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",indonesia,jobstreet,"d3, s1, sma"
110,sumatera,lampung,field collection lampung,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",indonesia,jobstreet,"d3, s1"
111,jawa,jawa barat,field collection kuningan jawa barat,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",indonesia,jobstreet,"d3, s1, sma"
