id_loker,pulau,provinsi,job_position,company_name,years_of_experience,years_of_experience_cat,average_processing_time,company_industry,company_size,work_environment_waktu_bekerja,work_environment_gaya_berpakaian,work_environment_gaya_berpakaian_contoh,work_environment_tunjangan,work_environment_bahasa,platform,pendidikan
5577,jawa,dki jakarta,staff penerjemah untuk tempat ibadah,Yayasan Suprasaka Dharma Wirasta,1,0 - 4 tahun,6,Lainnya,tidak spesifik,tidak tersedia,tidak spesifik,tidak spesifik,tidak tersedia,tidak dicantumkan,jobstreet,sma
5578,jawa,dki jakarta,business development manager,"PT Dian Swastatika Sentosa, Tbk",5,5 - 9 tahun,14,Layanan Umum/Tenaga Penggerak,1001 - 2000 pekerja,senin - jumat,bisnis,kemeja,kesehatan,inggris,jobstreet,s1
5579,tidak diketahui,tidak diketahui,teknisi gudang,PT. IDcommerce Service Solution,2,0 - 4 tahun,14,Transportasi/Logistik,501 - 1000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, umum",inggris,jobstreet,"sma, d3"
5580,kalimantan,kalimantan tengah,environmental engineer,"PT Dian Swastatika Sentosa, Tbk",3,0 - 4 tahun,14,Layanan Umum/Tenaga Penggerak,1001 - 2000 pekerja,senin - jumat,bisnis,kemeja,kesehatan,inggris,jobstreet,s1
5581,jawa,jawa barat,team leader brand promotor,PT Infomedia Solusi Humanika (Recruitment Firm),2,0 - 4 tahun,14,Manajemen/Konsulting HR,lebih dari 5000 pekerja,tidak tersedia,tidak spesifik,tidak spesifik,tidak tersedia,tidak dicantumkan,jobstreet,tidak dicantumkan
5582,sulawesi,sulawesi tenggara,electrical engineer,"PT Dian Swastatika Sentosa, Tbk",5,5 - 9 tahun,14,Layanan Umum/Tenaga Penggerak,1001 - 2000 pekerja,senin - jumat,bisnis,kemeja,kesehatan,inggris,jobstreet,s1
5583,jawa,jawa barat,brand promotor,PT Infomedia Solusi Humanika (Recruitment Firm),1,0 - 4 tahun,14,Manajemen/Konsulting HR,lebih dari 5000 pekerja,tidak tersedia,tidak spesifik,tidak spesifik,tidak tersedia,tidak dicantumkan,jobstreet,tidak dicantumkan
5584,jawa,dki jakarta,copy writer,PT Elit Indonesia Grup,2,0 - 4 tahun,7,Konsultasi (Bisnis & Manajemen),1- 50 pekerja,senin - jumat,kasual,kaos,"kesehatan, bpjs kesehatan","inggris, mandarin",jobstreet,tidak dicantumkan
5585,jawa,dki jakarta,marketing,PT Elit Indonesia Grup,3,0 - 4 tahun,7,Konsultasi (Bisnis & Manajemen),1- 50 pekerja,senin - jumat,kasual,kaos,"kesehatan, bpjs kesehatan","inggris, mandarin",jobstreet,s1
5586,jawa,jawa timur,salesforce developer,Viseo Pte Ltd Inc.,3,0 - 4 tahun,6,Konsultasi (Bisnis & Manajemen),1001 - 2000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, umum",inggris,jobstreet,tidak dicantumkan
