id_loker,provinsi,pendidikan
106,jawa barat,S1
106,jawa barat,SMA
107,dki jakarta,S1
108,jambi,D3
108,jambi,S1
108,jambi,SMA
109,sumatera barat,D3
109,sumatera barat,S1
109,sumatera barat,SMA
110,lampung,D3
110,lampung,S1
111,jawa barat,D3
111,jawa barat,S1
111,jawa barat,SMA
112,jawa barat,D3
112,jawa barat,S1
112,jawa barat,SMA
113,jambi,D3
113,jambi,S1
113,jambi,SMA
114,dki jakarta,PROFESI
114,dki jakarta,S2
115,kalimantan timur,SMA
116,jawa tengah,D3
116,jawa tengah,S1
117,banten,D3
117,banten,S1
118,jawa timur,D3
118,jawa timur,S1
119,jawa barat,D3
119,jawa barat,S1
119,jawa barat,SMA
120,jawa barat,D3
120,jawa barat,S1
120,jawa barat,SMA
121,jawa barat,S1
122,dki jakarta,S1
123,dki jakarta,TIDAK DICANTUMKAN
124,jawa timur,PROFESI
125,sumatera utara,S1
126,dki jakarta,TIDAK DICANTUMKAN
127,jawa timur,D3
128,dki jakarta,S1
129,dki jakarta,D3
130,dki jakarta,TIDAK DICANTUMKAN
131,dki jakarta,PROFESI
131,dki jakarta,S2
132,dki jakarta,S1
132,dki jakarta,PROFESI
133,dki jakarta,TIDAK DICANTUMKAN
134,dki jakarta,TIDAK DICANTUMKAN
135,dki jakarta,D3
136,jawa tengah,S1
137,sulawesi selatan,TIDAK DICANTUMKAN
138,banten,S1
139,dki jakarta,D3
139,dki jakarta,S1
139,dki jakarta,S2
139,dki jakarta,S3
140,sulawesi tenggara,D3
140,sulawesi tenggara,S1
141,dki jakarta,S1
142,dki jakarta,S1
143,dki jakarta,D3
144,dki jakarta,S1
145,jawa barat,S1
145,jawa barat,S2
146,dki jakarta,TIDAK DICANTUMKAN
147,dki jakarta,S1
148,lampung,D3
148,lampung,S1
148,lampung,SMA
149,papua,S1
150,jawa tengah,TIDAK DICANTUMKAN
151,dki jakarta,D3
151,dki jakarta,S1
152,kalimantan utara,D3
152,kalimantan utara,S1
153,dki jakarta,S1
154,dki jakarta,S1
155,dki jakarta,S1
156,lampung,S1
157,dki jakarta,S1
158,dki jakarta,TIDAK DICANTUMKAN
159,dki jakarta,S1
160,sumatera utara,PROFESI
161,dki jakarta,TIDAK DICANTUMKAN
162,tidak diketahui,D3
163,dki jakarta,TIDAK DICANTUMKAN
164,tidak diketahui,PROFESI
164,tidak diketahui,D3
164,tidak diketahui,S1
165,dki jakarta,S1
166,tidak diketahui,S1
166,tidak diketahui,PROFESI
167,jawa tengah,S1
168,dki jakarta,D3
168,dki jakarta,S1
168,dki jakarta,S2
168,dki jakarta,S3
169,dki jakarta,S1
170,tidak diketahui,S1
171,tidak diketahui,S1
172,banten,S1
173,dki jakarta,PROFESI
174,dki jakarta,PROFESI
174,dki jakarta,S1
175,jawa timur,D3
175,jawa timur,S1
176,dki jakarta,TIDAK DICANTUMKAN
177,banten,S1
177,banten,PROFESI
